id;fecha_origen;fecha_destino;precio
1;2022-04-10T17:24:16;2022-04-11T12:17:16;67096274
2;2022-04-11T00:48:51;2022-04-11T05:23:08;41290815
3;2022-04-11T01:35:17;2022-04-11T02:37:26;17177157
4;2022-04-11T10:25:49;2022-04-11T04:36:47;56608258
5;2022-04-11T05:11:35;2022-04-10T19:37:00;1366074
6;2022-04-10T19:03:13;2022-04-10T18:51:08;97503792
7;2022-04-11T03:28:10;2022-04-11T03:40:05;72374057
8;2022-04-10T20:40:37;2022-04-11T05:56:52;47161767
9;2022-04-11T05:05:28;2022-04-10T19:34:50;71720569
10;2022-04-10T22:48:53;2022-04-11T12:06:07;54789033
